Country,Region,construction_period_start,construction_period_end,mi_steel,mi_copper,mi_aluminum,mi_unspecified_metal,mi_wood,mi_paper_cardboard,mi_straw,mi_concrete,mi_cement,mi_aggregates,mi_brick,mi_mortar_plaster,mi_mineral_fill,mi_plaster_board_gypsum,mi_Adobe,mi_Asphalt,mi_Bitumen,mi_natural_stone,mi_cement_asbestos,mi_Clay,mi_siding_unspecified,mi_Ceramics,mi_Glass,mi_Plastics,mi_Polystyrene,mi_PVC,mi_Lineoleum,mi_Carpet,mi_Heraklith,mi_Mineral_wool,mi_insulation_unspecified,mi_other_unspecified_material,building_description,no_floors,Occupation,building_type,averaged_data,urban_rural,"Floor area used in original publication [gross, net, unspecified]",Authors,publication_year,publication_title,publication_outlet,DOI,URL,data_entry,conversion,aggregation,comment_primary,comment_secondary,global_region,climate_classification,equator_distance,heating_degree_days_0,heating_degree_days_1,cooling_degree_days_0,cooling_degree_days_1,country_land_area,population_0,"Notes, population_0",population_1,urbanization_0,urbanization_1,gdp_0,gdp_1,hdi_0,hdi_1
Austria,Vienna,0,1918,3.414459688,0.162858195,0.478090527,0.181713649,68.17186999,,,52.9349493,,,1025.470266,330.7415827,0.002681017,0.817599692,,,0.339165086,,,,,0.430556701,0.909139253,1.422682481,,0.682172383,,,,0.002681017,,,Case study OBG,3.4,residential,NULL,FALSE,urban,gross,"Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,GIS‐based Analysis of Vienna's Material Stock in Buildings,Journal of Industrial Ecology,10.1111/jiec.12446,﻿http://doi.wiley.com/10.1111/jiec.12446,Heeren and Fishman,Personal communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author. ,"Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""laminate"" as ""other"".",,"Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls.",Europe,Cfb,5362,,4039.855,,90.9649975,82445,,Pre-1918,6727,,0.636,,2767,,
Austria,Vienna,0,1918,8.300614114,0.242197948,0.073321113,0.030977444,89.49142762,,,390.1431201,,,921.4151605,288.0342857,0.067300623,0.597116391,,,0.089162528,0.065976596,,,,1.802659004,0.818104356,1.322689139,,,0.155943426,,,0.067300623,,,Construction files (nr. 3),3.9,residential,NULL,FALSE,urban,gross,"Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,GIS‐based Analysis of Vienna's Material Stock in Buildings,Journal of Industrial Ecology,10.1111/jiec.12446,﻿http://doi.wiley.com/10.1111/jiec.12446,Heeren and Fishman,Personal communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author. ,"Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""laminate"" as ""other"".",,"Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls.",Europe,Cfb,5362,,4039.855,,90.9649975,82445,,Pre-1918,6727,,0.636,,2767,,
Austria,Vienna,0,1918,15.27333567,0.200116287,0.06058164,0.025595142,68.39522234,,,58.83064736,,,650.7624669,202.4505259,0.101847279,0.49336799,,,,0.054513226,,,,1.489448729,0.515917707,1.092873168,,,0.128848405,,,0.101847279,,,Construction files (nr. 11),3.2,residential,NULL,FALSE,urban,gross,"Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,GIS‐based Analysis of Vienna's Material Stock in Buildings,Journal of Industrial Ecology,10.1111/jiec.12446,﻿http://doi.wiley.com/10.1111/jiec.12446,Heeren and Fishman,Personal communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author. ,"Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""laminate"" as ""other"".",,"Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls.",Europe,Cfb,5362,,4039.855,,90.9649975,82445,,Pre-1918,6727,,0.636,,2767,,
Austria,Vienna,0,1918,11.11131134,0.256901655,0.077772398,0.032858067,48.2128811,,,189.6202719,,,688.9902811,222.6578641,0.071386407,0.633367005,,,0.094575537,0.069982,,,,1.912097459,1.523700056,1.402988883,,,0.165410667,,,0.071386407,,,Construction files (nr. 29),4.1,residential,NULL,FALSE,urban,gross,"Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,GIS‐based Analysis of Vienna's Material Stock in Buildings,Journal of Industrial Ecology,10.1111/jiec.12446,﻿http://doi.wiley.com/10.1111/jiec.12446,Heeren and Fishman,Personal communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author. ,"Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""laminate"" as ""other"".",,"Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls.",Europe,Cfb,5362,,4039.855,,90.9649975,82445,,Pre-1918,6727,,0.636,,2767,,
Austria,Vienna,0,1918,11.29212356,0.266116622,0.329761267,0.034036674,32.39745851,,,135.9789714,1.722074184,,930.4064304,311.2237686,0.555818791,0.656085646,,,0.097967927,0.072492229,,,,1.980683689,1.04422688,1.453313576,,,0.171343887,,,0.555818791,,,Construction files (nr. 30),4.3,residential,NULL,FALSE,urban,gross,"Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,GIS‐based Analysis of Vienna's Material Stock in Buildings,Journal of Industrial Ecology,10.1111/jiec.12446,﻿http://doi.wiley.com/10.1111/jiec.12446,Heeren and Fishman,Personal communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author. ,"Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""laminate"" as ""other"".",,"Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls.",Europe,Cfb,5362,,4039.855,,90.9649975,82445,,Pre-1918,6727,,0.636,,2767,,
Austria,Vienna,0,1918,19.90934867,0.217124935,0.065730705,0.027770571,46.84368488,,,71.50945723,0.132079856,,925.8354385,304.7111186,0.060333473,0.535301222,,,0.079932172,0.059146513,,,,1.61604267,1.026460358,1.185760637,,,0.139799723,,,0.060333473,,,Construction files (nr. 42),3.5,residential,NULL,FALSE,urban,gross,"Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,GIS‐based Analysis of Vienna's Material Stock in Buildings,Journal of Industrial Ecology,10.1111/jiec.12446,﻿http://doi.wiley.com/10.1111/jiec.12446,Heeren and Fishman,Personal communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author. ,"Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""laminate"" as ""other"".",,"Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls.",Europe,Cfb,5362,,4039.855,,90.9649975,82445,,Pre-1918,6727,,0.636,,2767,,
Austria,Vienna,0,1918,8.15795289,0.217840728,0.065947398,0.027862122,22.84301444,,,117.6647214,11.62515237,,761.684191,266.0047405,0.060532374,0.537065943,,,0.080195684,0.059341501,,,,1.62137026,0.809030527,1.18966972,,,0.1402606,,,0.060532374,,,Construction files (nr. 45),3.5,residential,NULL,FALSE,urban,gross,"Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,GIS‐based Analysis of Vienna's Material Stock in Buildings,Journal of Industrial Ecology,10.1111/jiec.12446,﻿http://doi.wiley.com/10.1111/jiec.12446,Heeren and Fishman,Personal communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author. ,"Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""laminate"" as ""other"".",,"Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls.",Europe,Cfb,5362,,4039.855,,90.9649975,82445,,Pre-1918,6727,,0.636,,2767,,
Austria,Vienna,0,1918,7.1111783,0.221406441,0.067026854,0.028318182,75.28328483,,,72.91955855,,,986.8523314,327.2807576,0.061523194,0.545856874,,,0.081508362,0.060312829,,,,1.647909559,1.597957814,1.209142756,,,0.142556447,,,0.061523194,,,Construction files (nr. 50),3.5,residential,NULL,FALSE,urban,gross,"Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,GIS‐based Analysis of Vienna's Material Stock in Buildings,Journal of Industrial Ecology,10.1111/jiec.12446,﻿http://doi.wiley.com/10.1111/jiec.12446,Heeren and Fishman,Personal communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author. ,"Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""laminate"" as ""other"".",,"Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls.",Europe,Cfb,5362,,4039.855,,90.9649975,82445,,Pre-1918,6727,,0.636,,2767,,
Austria,Vienna,0,1918,10.42403821,0.268913707,0.211096616,0.034394425,68.69549022,,,88.56593654,,,1072.842579,368.4917073,0.07472425,0.662981596,,,0.098997643,0.073254176,,,,2.001502153,1.628459256,1.569868714,,,0.173144839,,,0.07472425,,,Construction files (nr. 51),4.3,residential,NULL,FALSE,urban,gross,"Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,GIS‐based Analysis of Vienna's Material Stock in Buildings,Journal of Industrial Ecology,10.1111/jiec.12446,﻿http://doi.wiley.com/10.1111/jiec.12446,Heeren and Fishman,Personal communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author. ,"Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""laminate"" as ""other"".",,"Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls.",Europe,Cfb,5362,,4039.855,,90.9649975,82445,,Pre-1918,6727,,0.636,,2767,,
Austria,Vienna,0,1918,8.504804861,0.211002006,0.063877097,0.026987441,34.09961819,,,141.1013009,,,1053.174016,347.3433465,0.058632067,0.520205713,,,0.077678083,0.05747858,,,,1.570470224,2.21393244,1.152322155,,,0.135857368,,,0.058632067,,,Construction files (nr. 59),3.4,residential,NULL,FALSE,urban,gross,"Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,GIS‐based Analysis of Vienna's Material Stock in Buildings,Journal of Industrial Ecology,10.1111/jiec.12446,﻿http://doi.wiley.com/10.1111/jiec.12446,Heeren and Fishman,Personal communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author. ,"Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""laminate"" as ""other"".",,"Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls.",Europe,Cfb,5362,,4039.855,,90.9649975,82445,,Pre-1918,6727,,0.636,,2767,,
